question,sql,db_id,source
show employees with title sales support agent,SELECT * FROM Employee WHERE Title = 'Sales Support Agent',chinook_1,chinook_manual
show employees with title it manager,SELECT * FROM Employee WHERE Title = 'IT Manager',chinook_1,chinook_manual
show employees with title general manager,SELECT * FROM Employee WHERE Title = 'General Manager',chinook_1,chinook_manual
find employees who are sales support agents,SELECT * FROM Employee WHERE Title = 'Sales Support Agent',chinook_1,chinook_manual
show customers in new york,SELECT * FROM Customer WHERE City = 'New York',chinook_1,chinook_manual
show customers in paris,SELECT * FROM Customer WHERE City = 'Paris',chinook_1,chinook_manual
show customers in london,SELECT * FROM Customer WHERE City = 'London',chinook_1,chinook_manual
show customers in berlin,SELECT * FROM Customer WHERE City = 'Berlin',chinook_1,chinook_manual
show customers in sao paulo,SELECT * FROM Customer WHERE City = 'São Paulo',chinook_1,chinook_manual
show invoices billed to usa,SELECT * FROM Invoice WHERE BillingCountry = 'USA',chinook_1,chinook_manual
show invoices billed to germany,SELECT * FROM Invoice WHERE BillingCountry = 'Germany',chinook_1,chinook_manual
show invoices billed to canada,SELECT * FROM Invoice WHERE BillingCountry = 'Canada',chinook_1,chinook_manual
show invoices billed to france,SELECT * FROM Invoice WHERE BillingCountry = 'France',chinook_1,chinook_manual
show invoices billed to brazil,SELECT * FROM Invoice WHERE BillingCountry = 'Brazil',chinook_1,chinook_manual
show invoices from 2013,SELECT * FROM Invoice WHERE InvoiceDate LIKE '2013%',chinook_1,chinook_manual
show invoices from 2012,SELECT * FROM Invoice WHERE InvoiceDate LIKE '2012%',chinook_1,chinook_manual
show invoices from 2011,SELECT * FROM Invoice WHERE InvoiceDate LIKE '2011%',chinook_1,chinook_manual
show tracks with genre id 1,SELECT * FROM Track WHERE GenreId = 1,chinook_1,chinook_manual
show tracks with genre id 2,SELECT * FROM Track WHERE GenreId = 2,chinook_1,chinook_manual
show tracks in album 1,SELECT * FROM Track WHERE AlbumId = 1,chinook_1,chinook_manual
show tracks in album 2,SELECT * FROM Track WHERE AlbumId = 2,chinook_1,chinook_manual
show tracks longer than 300000 milliseconds,SELECT * FROM Track WHERE Milliseconds > 300000,chinook_1,chinook_manual
show tracks shorter than 200000 milliseconds,SELECT * FROM Track WHERE Milliseconds < 200000,chinook_1,chinook_manual
show customers with gmail email,SELECT * FROM Customer WHERE Email LIKE '%gmail%',chinook_1,chinook_manual
show customers without a company,SELECT * FROM Customer WHERE Company IS NULL,chinook_1,chinook_manual
show employees hired after 2002,SELECT * FROM Employee WHERE HireDate > '2002-01-01',chinook_1,chinook_manual
show invoice lines with quantity greater than 1,SELECT * FROM InvoiceLine WHERE Quantity > 1,chinook_1,chinook_manual
show albums with artist id 1,SELECT * FROM Album WHERE ArtistId = 1,chinook_1,chinook_manual
show albums with artist id 2,SELECT * FROM Album WHERE ArtistId = 2,chinook_1,chinook_manual
show customers where state is ca,SELECT * FROM Customer WHERE State = 'CA',chinook_1,chinook_manual
show customers where country is not usa,SELECT * FROM Customer WHERE Country != 'USA',chinook_1,chinook_manual
show invoices with total between 5 and 15,SELECT * FROM Invoice WHERE Total BETWEEN 5 AND 15,chinook_1,chinook_manual
show tracks where composer is not null,SELECT * FROM Track WHERE Composer IS NOT NULL,chinook_1,chinook_manual
show customer first names starting with a,SELECT * FROM Customer WHERE FirstName LIKE 'A%',chinook_1,chinook_manual
show employee last names starting with m,SELECT * FROM Employee WHERE LastName LIKE 'M%',chinook_1,chinook_manual
show albums where title contains rock,SELECT * FROM Album WHERE Title LIKE '%rock%',chinook_1,chinook_manual
how many artists are there,SELECT COUNT(*) FROM Artist,chinook_1,chinook_manual
count all artists,SELECT COUNT(*) FROM Artist,chinook_1,chinook_manual
total number of artists,SELECT COUNT(*) FROM Artist,chinook_1,chinook_manual
how many albums are there,SELECT COUNT(*) FROM Album,chinook_1,chinook_manual
count all albums,SELECT COUNT(*) FROM Album,chinook_1,chinook_manual
how many tracks are there,SELECT COUNT(*) FROM Track,chinook_1,chinook_manual
count all tracks,SELECT COUNT(*) FROM Track,chinook_1,chinook_manual
how many customers are there,SELECT COUNT(*) FROM Customer,chinook_1,chinook_manual
count all customers,SELECT COUNT(*) FROM Customer,chinook_1,chinook_manual
total number of customers,SELECT COUNT(*) FROM Customer,chinook_1,chinook_manual
how many employees are there,SELECT COUNT(*) FROM Employee,chinook_1,chinook_manual
count all employees,SELECT COUNT(*) FROM Employee,chinook_1,chinook_manual
how many invoices are there,SELECT COUNT(*) FROM Invoice,chinook_1,chinook_manual
count all invoices,SELECT COUNT(*) FROM Invoice,chinook_1,chinook_manual
how many genres are there,SELECT COUNT(*) FROM Genre,chinook_1,chinook_manual
count all genres,SELECT COUNT(*) FROM Genre,chinook_1,chinook_manual
how many playlists are there,SELECT COUNT(*) FROM Playlist,chinook_1,chinook_manual
how many media types are there,SELECT COUNT(*) FROM MediaType,chinook_1,chinook_manual
what is the total revenue,SELECT SUM(Total) FROM Invoice,chinook_1,chinook_manual
total sales amount,SELECT SUM(Total) FROM Invoice,chinook_1,chinook_manual
sum of all invoice totals,SELECT SUM(Total) FROM Invoice,chinook_1,chinook_manual
what is the total of all invoices,SELECT SUM(Total) FROM Invoice,chinook_1,chinook_manual
find the average invoice total,SELECT AVG(Total) FROM Invoice,chinook_1,chinook_manual
average invoice amount,SELECT AVG(Total) FROM Invoice,chinook_1,chinook_manual
what is the average order value,SELECT AVG(Total) FROM Invoice,chinook_1,chinook_manual
mean invoice total,SELECT AVG(Total) FROM Invoice,chinook_1,chinook_manual
what is the maximum invoice total,SELECT MAX(Total) FROM Invoice,chinook_1,chinook_manual
find the highest invoice,SELECT MAX(Total) FROM Invoice,chinook_1,chinook_manual
largest invoice amount,SELECT MAX(Total) FROM Invoice,chinook_1,chinook_manual
what is the minimum invoice total,SELECT MIN(Total) FROM Invoice,chinook_1,chinook_manual
find the lowest invoice,SELECT MIN(Total) FROM Invoice,chinook_1,chinook_manual
smallest invoice amount,SELECT MIN(Total) FROM Invoice,chinook_1,chinook_manual
average track price,SELECT AVG(UnitPrice) FROM Track,chinook_1,chinook_manual
maximum track price,SELECT MAX(UnitPrice) FROM Track,chinook_1,chinook_manual
minimum track price,SELECT MIN(UnitPrice) FROM Track,chinook_1,chinook_manual
total quantity sold,SELECT SUM(Quantity) FROM InvoiceLine,chinook_1,chinook_manual
average quantity per invoice line,SELECT AVG(Quantity) FROM InvoiceLine,chinook_1,chinook_manual
how many tracks have a composer,SELECT COUNT(*) FROM Track WHERE Composer IS NOT NULL,chinook_1,chinook_manual
how many customers are from usa,SELECT COUNT(*) FROM Customer WHERE Country = 'USA',chinook_1,chinook_manual
how many customers are from germany,SELECT COUNT(*) FROM Customer WHERE Country = 'Germany',chinook_1,chinook_manual
how many invoices are from usa,SELECT COUNT(*) FROM Invoice WHERE BillingCountry = 'USA',chinook_1,chinook_manual
total revenue from usa,SELECT SUM(Total) FROM Invoice WHERE BillingCountry = 'USA',chinook_1,chinook_manual
total revenue from germany,SELECT SUM(Total) FROM Invoice WHERE BillingCountry = 'Germany',chinook_1,chinook_manual
average invoice total for usa,SELECT AVG(Total) FROM Invoice WHERE BillingCountry = 'USA',chinook_1,chinook_manual
maximum invoice total for usa,SELECT MAX(Total) FROM Invoice WHERE BillingCountry = 'USA',chinook_1,chinook_manual
how many tracks cost 0.99,SELECT COUNT(*) FROM Track WHERE UnitPrice = 0.99,chinook_1,chinook_manual
total duration of all tracks,SELECT SUM(Milliseconds) FROM Track,chinook_1,chinook_manual
average track duration,SELECT AVG(Milliseconds) FROM Track,chinook_1,chinook_manual
longest track duration,SELECT MAX(Milliseconds) FROM Track,chinook_1,chinook_manual
shortest track duration,SELECT MIN(Milliseconds) FROM Track,chinook_1,chinook_manual
count customers by country,"SELECT Country, COUNT(*) FROM Customer GROUP BY Country",chinook_1,chinook_manual
number of customers per country,"SELECT Country, COUNT(*) FROM Customer GROUP BY Country",chinook_1,chinook_manual
how many customers in each country,"SELECT Country, COUNT(*) FROM Customer GROUP BY Country",chinook_1,chinook_manual
customers grouped by country,"SELECT Country, COUNT(*) FROM Customer GROUP BY Country",chinook_1,chinook_manual
count customers per country,"SELECT Country, COUNT(*) FROM Customer GROUP BY Country",chinook_1,chinook_manual
total revenue by country,"SELECT BillingCountry, SUM(Total) FROM Invoice GROUP BY BillingCountry",chinook_1,chinook_manual
revenue per country,"SELECT BillingCountry, SUM(Total) FROM Invoice GROUP BY BillingCountry",chinook_1,chinook_manual
sum of invoices by country,"SELECT BillingCountry, SUM(Total) FROM Invoice GROUP BY BillingCountry",chinook_1,chinook_manual
total sales by billing country,"SELECT BillingCountry, SUM(Total) FROM Invoice GROUP BY BillingCountry",chinook_1,chinook_manual
invoice total grouped by country,"SELECT BillingCountry, SUM(Total) FROM Invoice GROUP BY BillingCountry",chinook_1,chinook_manual
count invoices by country,"SELECT BillingCountry, COUNT(*) FROM Invoice GROUP BY BillingCountry",chinook_1,chinook_manual
number of invoices per country,"SELECT BillingCountry, COUNT(*) FROM Invoice GROUP BY BillingCountry",chinook_1,chinook_manual
count tracks by genre,"SELECT GenreId, COUNT(*) FROM Track GROUP BY GenreId",chinook_1,chinook_manual
number of tracks per genre,"SELECT GenreId, COUNT(*) FROM Track GROUP BY GenreId",chinook_1,chinook_manual
how many tracks in each genre,"SELECT GenreId, COUNT(*) FROM Track GROUP BY GenreId",chinook_1,chinook_manual
tracks grouped by genre,"SELECT GenreId, COUNT(*) FROM Track GROUP BY GenreId",chinook_1,chinook_manual
count albums by artist,"SELECT ArtistId, COUNT(*) FROM Album GROUP BY ArtistId",chinook_1,chinook_manual
number of albums per artist,"SELECT ArtistId, COUNT(*) FROM Album GROUP BY ArtistId",chinook_1,chinook_manual
how many albums per artist id,"SELECT ArtistId, COUNT(*) FROM Album GROUP BY ArtistId",chinook_1,chinook_manual
albums grouped by artist,"SELECT ArtistId, COUNT(*) FROM Album GROUP BY ArtistId",chinook_1,chinook_manual
count tracks by album,"SELECT AlbumId, COUNT(*) FROM Track GROUP BY AlbumId",chinook_1,chinook_manual
number of tracks per album,"SELECT AlbumId, COUNT(*) FROM Track GROUP BY AlbumId",chinook_1,chinook_manual
count tracks by media type,"SELECT MediaTypeId, COUNT(*) FROM Track GROUP BY MediaTypeId",chinook_1,chinook_manual
average invoice by country,"SELECT BillingCountry, AVG(Total) FROM Invoice GROUP BY BillingCountry",chinook_1,chinook_manual
average invoice total per country,"SELECT BillingCountry, AVG(Total) FROM Invoice GROUP BY BillingCountry",chinook_1,chinook_manual
maximum invoice by country,"SELECT BillingCountry, MAX(Total) FROM Invoice GROUP BY BillingCountry",chinook_1,chinook_manual
minimum invoice by country,"SELECT BillingCountry, MIN(Total) FROM Invoice GROUP BY BillingCountry",chinook_1,chinook_manual
total invoice lines per invoice,"SELECT InvoiceId, COUNT(*) FROM InvoiceLine GROUP BY InvoiceId",chinook_1,chinook_manual
count invoice lines by invoice,"SELECT InvoiceId, COUNT(*) FROM InvoiceLine GROUP BY InvoiceId",chinook_1,chinook_manual
count customers by city,"SELECT City, COUNT(*) FROM Customer GROUP BY City",chinook_1,chinook_manual
number of customers per city,"SELECT City, COUNT(*) FROM Customer GROUP BY City",chinook_1,chinook_manual
count customers by state,"SELECT State, COUNT(*) FROM Customer GROUP BY State",chinook_1,chinook_manual
count employees by title,"SELECT Title, COUNT(*) FROM Employee GROUP BY Title",chinook_1,chinook_manual
number of employees per title,"SELECT Title, COUNT(*) FROM Employee GROUP BY Title",chinook_1,chinook_manual
total track duration by album,"SELECT AlbumId, SUM(Milliseconds) FROM Track GROUP BY AlbumId",chinook_1,chinook_manual
average track duration by album,"SELECT AlbumId, AVG(Milliseconds) FROM Track GROUP BY AlbumId",chinook_1,chinook_manual
total track price by genre,"SELECT GenreId, SUM(UnitPrice) FROM Track GROUP BY GenreId",chinook_1,chinook_manual
average track price by genre,"SELECT GenreId, AVG(UnitPrice) FROM Track GROUP BY GenreId",chinook_1,chinook_manual
count tracks by composer,"SELECT Composer, COUNT(*) FROM Track GROUP BY Composer",chinook_1,chinook_manual
total revenue by billing city,"SELECT BillingCity, SUM(Total) FROM Invoice GROUP BY BillingCity",chinook_1,chinook_manual
count invoices by billing city,"SELECT BillingCity, COUNT(*) FROM Invoice GROUP BY BillingCity",chinook_1,chinook_manual
count invoices by year,"SELECT strftime('%Y', InvoiceDate), COUNT(*) FROM Invoice GROUP BY strftime('%Y', InvoiceDate)",chinook_1,chinook_manual
total revenue by year,"SELECT strftime('%Y', InvoiceDate), SUM(Total) FROM Invoice GROUP BY strftime('%Y', InvoiceDate)",chinook_1,chinook_manual
count playlists by name,"SELECT Name, COUNT(*) FROM Playlist GROUP BY Name",chinook_1,chinook_manual
count albums per genre through tracks,"SELECT GenreId, COUNT(DISTINCT AlbumId) FROM Track GROUP BY GenreId",chinook_1,chinook_manual
average invoice total by billing state,"SELECT BillingState, AVG(Total) FROM Invoice GROUP BY BillingState",chinook_1,chinook_manual
total sales per invoice,"SELECT InvoiceId, SUM(UnitPrice * Quantity) FROM InvoiceLine GROUP BY InvoiceId",chinook_1,chinook_manual
count invoice lines by track,"SELECT TrackId, COUNT(*) FROM InvoiceLine GROUP BY TrackId",chinook_1,chinook_manual
number of tracks per media type id,"SELECT MediaTypeId, COUNT(*) FROM Track GROUP BY MediaTypeId",chinook_1,chinook_manual
count albums by artist id,"SELECT ArtistId, COUNT(*) FROM Album GROUP BY ArtistId",chinook_1,chinook_manual
number of customers by country having more than 5,"SELECT Country, COUNT(*) FROM Customer GROUP BY Country HAVING COUNT(*) > 5",chinook_1,chinook_manual
countries with more than 3 invoices,"SELECT BillingCountry, COUNT(*) FROM Invoice GROUP BY BillingCountry HAVING COUNT(*) > 3",chinook_1,chinook_manual
genres with over 50 tracks,"SELECT GenreId, COUNT(*) FROM Track GROUP BY GenreId HAVING COUNT(*) > 50",chinook_1,chinook_manual
artists having more than 5 albums,"SELECT ArtistId, COUNT(*) FROM Album GROUP BY ArtistId HAVING COUNT(*) > 5",chinook_1,chinook_manual
count customers per country order by count,"SELECT Country, COUNT(*) FROM Customer GROUP BY Country ORDER BY COUNT(*) DESC",chinook_1,chinook_manual
total revenue by country order by revenue,"SELECT BillingCountry, SUM(Total) FROM Invoice GROUP BY BillingCountry ORDER BY SUM(Total) DESC",chinook_1,chinook_manual
count tracks per genre order by count,"SELECT GenreId, COUNT(*) FROM Track GROUP BY GenreId ORDER BY COUNT(*) DESC",chinook_1,chinook_manual
count albums per artist order by count,"SELECT ArtistId, COUNT(*) FROM Album GROUP BY ArtistId ORDER BY COUNT(*) DESC",chinook_1,chinook_manual
average invoice by country order by average,"SELECT BillingCountry, AVG(Total) FROM Invoice GROUP BY BillingCountry ORDER BY AVG(Total) DESC",chinook_1,chinook_manual
show top 5 invoices by total,SELECT * FROM Invoice ORDER BY Total DESC LIMIT 5,chinook_1,chinook_manual
top 10 invoices by total,SELECT * FROM Invoice ORDER BY Total DESC LIMIT 10,chinook_1,chinook_manual
show top 3 invoices by total,SELECT * FROM Invoice ORDER BY Total DESC LIMIT 3,chinook_1,chinook_manual
highest 5 invoices,SELECT * FROM Invoice ORDER BY Total DESC LIMIT 5,chinook_1,chinook_manual
show the most expensive invoices,SELECT * FROM Invoice ORDER BY Total DESC LIMIT 10,chinook_1,chinook_manual
show cheapest 5 invoices,SELECT * FROM Invoice ORDER BY Total ASC LIMIT 5,chinook_1,chinook_manual
show latest 10 invoices,SELECT * FROM Invoice ORDER BY InvoiceDate DESC LIMIT 10,chinook_1,chinook_manual
show latest 5 invoices,SELECT * FROM Invoice ORDER BY InvoiceDate DESC LIMIT 5,chinook_1,chinook_manual
show oldest 5 invoices,SELECT * FROM Invoice ORDER BY InvoiceDate ASC LIMIT 5,chinook_1,chinook_manual
show most recent invoice,SELECT * FROM Invoice ORDER BY InvoiceDate DESC LIMIT 1,chinook_1,chinook_manual
show tracks sorted by price,SELECT * FROM Track ORDER BY UnitPrice,chinook_1,chinook_manual
show tracks sorted by price descending,SELECT * FROM Track ORDER BY UnitPrice DESC,chinook_1,chinook_manual
show tracks sorted by price ascending,SELECT * FROM Track ORDER BY UnitPrice ASC,chinook_1,chinook_manual
show top 5 most expensive tracks,SELECT * FROM Track ORDER BY UnitPrice DESC LIMIT 5,chinook_1,chinook_manual
show top 10 cheapest tracks,SELECT * FROM Track ORDER BY UnitPrice ASC LIMIT 10,chinook_1,chinook_manual
show artists sorted by name,SELECT * FROM Artist ORDER BY Name,chinook_1,chinook_manual
show artists in alphabetical order,SELECT * FROM Artist ORDER BY Name ASC,chinook_1,chinook_manual
show artists in reverse alphabetical order,SELECT * FROM Artist ORDER BY Name DESC,chinook_1,chinook_manual
show first 10 artists alphabetically,SELECT * FROM Artist ORDER BY Name ASC LIMIT 10,chinook_1,chinook_manual
show albums sorted by title,SELECT * FROM Album ORDER BY Title,chinook_1,chinook_manual
show top 10 albums alphabetically,SELECT * FROM Album ORDER BY Title ASC LIMIT 10,chinook_1,chinook_manual
show customers sorted by country,SELECT * FROM Customer ORDER BY Country,chinook_1,chinook_manual
show customers in alphabetical order by last name,SELECT * FROM Customer ORDER BY LastName ASC,chinook_1,chinook_manual
show first 5 customers by name,SELECT * FROM Customer ORDER BY LastName ASC LIMIT 5,chinook_1,chinook_manual
show top 5 longest tracks,SELECT * FROM Track ORDER BY Milliseconds DESC LIMIT 5,chinook_1,chinook_manual
show top 5 shortest tracks,SELECT * FROM Track ORDER BY Milliseconds ASC LIMIT 5,chinook_1,chinook_manual
show top 10 largest tracks by file size,SELECT * FROM Track ORDER BY Bytes DESC LIMIT 10,chinook_1,chinook_manual
show employees sorted by hire date,SELECT * FROM Employee ORDER BY HireDate,chinook_1,chinook_manual
show first hired employee,SELECT * FROM Employee ORDER BY HireDate ASC LIMIT 1,chinook_1,chinook_manual
show most recently hired employee,SELECT * FROM Employee ORDER BY HireDate DESC LIMIT 1,chinook_1,chinook_manual
show invoices sorted by total,SELECT * FROM Invoice ORDER BY Total DESC,chinook_1,chinook_manual
show invoices sorted by date,SELECT * FROM Invoice ORDER BY InvoiceDate,chinook_1,chinook_manual
show tracks sorted by name,SELECT * FROM Track ORDER BY Name,chinook_1,chinook_manual
show top 5 tracks by duration,SELECT * FROM Track ORDER BY Milliseconds DESC LIMIT 5,chinook_1,chinook_manual
show genres sorted by name,SELECT * FROM Genre ORDER BY Name,chinook_1,chinook_manual
show playlists sorted by name,SELECT * FROM Playlist ORDER BY Name,chinook_1,chinook_manual
show top 5 albums by title,SELECT * FROM Album ORDER BY Title ASC LIMIT 5,chinook_1,chinook_manual
show 10 most recent invoices,SELECT * FROM Invoice ORDER BY InvoiceDate DESC LIMIT 10,chinook_1,chinook_manual
show 5 highest invoice totals,SELECT * FROM Invoice ORDER BY Total DESC LIMIT 5,chinook_1,chinook_manual
show 5 lowest invoice totals,SELECT * FROM Invoice ORDER BY Total ASC LIMIT 5,chinook_1,chinook_manual
show first 10 customers,SELECT * FROM Customer ORDER BY CustomerId ASC LIMIT 10,chinook_1,chinook_manual
show first 10 tracks,SELECT * FROM Track ORDER BY TrackId ASC LIMIT 10,chinook_1,chinook_manual
show first 5 albums,SELECT * FROM Album ORDER BY AlbumId ASC LIMIT 5,chinook_1,chinook_manual
show first 5 artists,SELECT * FROM Artist ORDER BY ArtistId ASC LIMIT 5,chinook_1,chinook_manual
show top 5 invoice line quantities,SELECT * FROM InvoiceLine ORDER BY Quantity DESC LIMIT 5,chinook_1,chinook_manual
show most expensive track,SELECT * FROM Track ORDER BY UnitPrice DESC LIMIT 1,chinook_1,chinook_manual
show cheapest track,SELECT * FROM Track ORDER BY UnitPrice ASC LIMIT 1,chinook_1,chinook_manual
show highest total invoice,SELECT * FROM Invoice ORDER BY Total DESC LIMIT 1,chinook_1,chinook_manual
show latest invoice date,SELECT MAX(InvoiceDate) FROM Invoice,chinook_1,chinook_manual
show earliest invoice date,SELECT MIN(InvoiceDate) FROM Invoice,chinook_1,chinook_manual
show albums with artist names,"SELECT Album.Title, Artist.Name FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId",chinook_1,chinook_manual
list albums with their artist names,"SELECT Album.Title, Artist.Name FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId",chinook_1,chinook_manual
show album title and artist name,"SELECT Album.Title, Artist.Name FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId",chinook_1,chinook_manual
display albums and their artists,"SELECT Album.Title, Artist.Name FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId",chinook_1,chinook_manual
find albums with artist information,"SELECT Album.Title, Artist.Name FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId",chinook_1,chinook_manual
show artist name for each album,"SELECT Artist.Name, Album.Title FROM Artist JOIN Album ON Artist.ArtistId = Album.ArtistId",chinook_1,chinook_manual
get all albums with artist names,"SELECT Album.Title, Artist.Name FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId",chinook_1,chinook_manual
show which artist made each album,"SELECT Album.Title, Artist.Name FROM Album JOIN Artist ON Album.ArtistId = Artist.ArtistId",chinook_1,chinook_manual
show tracks with their genre names,"SELECT Track.Name, Genre.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId",chinook_1,chinook_manual
list tracks with genre information,"SELECT Track.Name, Genre.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId",chinook_1,chinook_manual
show track name and genre name,"SELECT Track.Name, Genre.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId",chinook_1,chinook_manual
display tracks with their genres,"SELECT Track.Name, Genre.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId",chinook_1,chinook_manual
find each track with its genre,"SELECT Track.Name, Genre.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId",chinook_1,chinook_manual
show genre for each track,"SELECT Track.Name, Genre.Name FROM Track JOIN Genre ON Track.GenreId = Genre.GenreId",chinook_1,chinook_manual
show tracks with media type names,"SELECT Track.Name, MediaType.Name FROM Track JOIN MediaType ON Track.MediaTypeId = MediaType.MediaTypeId",chinook_1,chinook_manual
list tracks with their media type,"SELECT Track.Name, MediaType.Name FROM Track JOIN MediaType ON Track.MediaTypeId = MediaType.MediaTypeId",chinook_1,chinook_manual
show track name and media type,"SELECT Track.Name, MediaType.Name FROM Track JOIN MediaType ON Track.MediaTypeId = MediaType.MediaTypeId",chinook_1,chinook_manual
find media type for each track,"SELECT Track.Name, MediaType.Name FROM Track JOIN MediaType ON Track.MediaTypeId = MediaType.MediaTypeId",chinook_1,chinook_manual
show customer names with their invoices,"SELECT Customer.FirstName, Customer.LastName, Invoice.Total FROM Customer JOIN Invoice ON Customer.CustomerId = Invoice.CustomerId",chinook_1,chinook_manual
list customers with invoice totals,"SELECT Customer.FirstName, Customer.LastName, Invoice.Total FROM Customer JOIN Invoice ON Customer.CustomerId = Invoice.CustomerId",chinook_1,chinook_manual
